,leaid,math_score,rla_score
1154,3401650,70.0,79.0
1155,3401770,22.0,37.0
1156,3401830,22.0,43.0
1157,3401950,30.0,52.0
1158,3402030,29.0,44.0
1159,3402100,9.0,32.0
1160,3402220,29.0,49.0
1161,3402250,8.0,26.0
1162,3402280,52.0,70.0
1163,3402400,15.0,31.0
1164,3402430,13.0,36.0
1165,3402460,30.0,46.0
1166,3402490,20.0,38.0
1167,3402520,27.0,46.0
1168,3402580,36.0,67.0
1169,3402640,2.0,13.0
1170,3402670,21.0,44.0
1171,3402730,19.0,29.0
1172,3402820,17.0,49.0
1173,3402850,20.0,52.0
1174,3402880,8.0,35.0
1175,3402910,29.0,27.0
1176,3403000,33.0,59.0
1177,3403120,38.0,59.0
1178,3403150,14.0,34.0
1179,3403210,45.0,58.0
1180,3403270,23.0,42.0
1181,3403300,18.0,42.0
1182,3403420,25.0,49.0
1183,3403570,37.0,69.0
1184,3403610,57.0,86.0
1185,3403620,12.0,30.0
1186,3403750,32.0,44.0
1187,3403780,24.0,34.0
1188,3403900,17.0,31.0
1189,3403930,20.0,42.0
1190,3403990,48.0,60.0
1191,3404110,45.0,71.0
1192,3404230,9.0,35.0
1193,3404320,28.0,53.0
1194,3404380,35.0,50.0
1195,3404500,49.0,68.0
1196,3404560,29.0,49.0
1197,3404590,12.0,42.0
1198,3404660,16.0,49.0
1199,3404740,14.0,52.0
1200,3404800,26.0,60.0
1201,3404920,18.0,35.0
1202,3404980,53.0,70.0
1203,3405310,36.0,77.0
1204,3405490,23.0,47.0
1205,3405610,32.0,46.0
1206,3405760,18.0,40.0
1207,3405970,45.0,76.0
1208,3406000,18.0,53.0
1209,3406040,49.0,60.0
1210,3406060,21.0,39.0
1211,3406270,20.0,51.0
1212,3406300,35.0,50.0
1213,3406330,21.0,29.0
1214,3406360,33.0,47.0
1215,3406390,60.0,74.0
1216,3406540,17.0,35.0
1217,3406570,31.0,65.0
1218,3406660,44.0,66.0
1219,3406870,11.0,43.0
1220,3406930,41.0,50.0
1221,3406990,20.0,42.0
1222,3407140,29.0,37.0
1223,3407230,52.0,63.0
1224,3407290,7.0,40.0
1225,3407410,57.0,66.0
1226,3407530,47.0,60.0
1227,3407570,40.0,77.0
1228,3407590,45.0,73.0
1229,3407680,3.0,23.0
1230,3407740,25.0,41.0
1231,3407800,20.0,60.0
1232,3407830,20.0,44.0
1233,3407890,12.0,43.0
1234,3407920,7.0,37.0
1235,3407980,37.0,55.0
1236,3408040,60.0,85.0
1237,3408060,35.0,54.0
1238,3408100,23.0,41.0
1239,3408190,37.0,63.0
1240,3408220,6.0,23.0
1241,3408400,28.0,61.0
1242,3408490,31.0,47.0
1243,3408500,32.0,54.0
1244,3408520,39.0,71.0
1245,3408610,5.0,44.0
1246,3408640,6.0,27.0
1247,3408820,56.0,78.0
1248,3408850,31.0,56.0
1249,3408940,18.0,30.0
1250,3409090,27.0,33.0
1251,3409210,18.0,50.0
1252,3409240,63.0,76.0
1253,3409270,27.0,38.0
1254,3409330,56.0,66.0
1255,3409360,34.0,55.0
1256,3409420,42.0,70.0
1257,3409450,21.0,34.0
1258,3409550,29.0,52.0
1259,3409660,20.0,41.0
1260,3409750,39.0,63.0
1261,3409990,49.0,66.0
1262,3410020,17.0,29.0
1263,3410050,37.0,56.0
1264,3410080,24.0,48.0
1265,3410110,28.0,43.0
1266,3410200,73.0,81.0
1267,3410320,6.0,21.0
1268,3410440,30.0,42.0
1269,3410470,20.0,30.0
1270,3410500,46.0,61.0
1271,3410560,39.0,58.0
1272,3410590,68.0,73.0
1273,3410650,46.0,59.0
1274,3410710,48.0,61.0
1275,3410720,73.0,88.0
1276,3410740,41.0,60.0
1277,3410810,28.0,41.0
1278,3410980,46.0,85.0
1279,3411010,50.0,80.0
1280,3411160,11.0,27.0
1281,3411220,10.0,33.0
1282,3411280,34.0,58.0
1283,3411310,64.0,74.0
1284,3411340,15.0,34.0
1285,3411400,26.0,42.0
1286,3411430,18.0,48.0
1287,3411460,7.0,35.0
1288,3411490,23.0,45.0
1289,3411610,57.0,63.0
1290,3411640,12.0,40.0
1291,3411700,29.0,48.0
1292,3411730,64.0,65.0
1293,3411760,61.0,75.0
1294,3411880,31.0,54.0
1295,3411970,30.0,57.0
1296,3412060,34.0,42.0
1297,3412260,61.0,64.0
1298,3412270,13.0,28.0
1299,3412360,20.0,32.0
1300,3412420,45.0,63.0
1301,3412480,46.0,62.0
1302,3412510,51.0,66.0
1303,3412540,7.0,17.0
1304,3412570,22.0,41.0
1305,3412600,9.0,51.0
1306,3412630,40.0,58.0
1307,3412690,3.0,17.0
1308,3412810,8.0,35.0
1309,3412840,7.0,30.0
1310,3412870,13.0,29.0
1311,3412900,51.0,67.0
1312,3412930,15.0,30.0
1313,3412960,24.0,53.0
1314,3412990,4.0,31.0
1315,3413000,23.0,51.0
1316,3413050,31.0,45.0
1317,3413110,23.0,34.0
1318,3413140,4.0,15.0
1319,3413200,4.0,13.0
1320,3413290,39.0,64.0
1321,3413350,40.0,65.0
1322,3413410,48.0,76.0
1323,3413530,9.0,25.0
1324,3413560,52.0,72.0
1325,3413590,53.0,75.0
1326,3413620,41.0,51.0
1327,3413650,44.0,66.0
1328,3413680,14.0,39.0
1329,3413750,39.0,56.0
1330,3413770,33.0,62.0
1331,3413800,17.0,51.0
1332,3413830,67.0,81.0
1333,3414280,6.0,39.0
1334,3414310,16.0,46.0
1335,3414340,34.0,43.0
1336,3414400,44.0,60.0
1337,3414460,31.0,66.0
1338,3414490,25.0,52.0
1339,3414580,24.0,39.0
1340,3414640,20.0,46.0
1341,3414670,53.0,69.0
1342,3414850,31.0,51.0
1343,3414940,20.0,55.0
1344,3415090,29.0,52.0
1345,3415210,40.0,56.0
1346,3415330,43.0,58.0
1347,3415360,37.0,51.0
1348,3415390,17.0,50.0
1349,3415450,21.0,38.0
1350,3415480,31.0,35.0
1351,3415510,43.0,54.0
1352,3415540,32.0,58.0
1353,3415900,70.0,75.0
1354,3415930,20.0,34.0
1355,3416080,27.0,57.0
1356,3416110,65.0,73.0
1357,3416230,21.0,50.0
1358,3416290,4.0,18.0
1359,3416380,17.0,48.0
1360,3416470,22.0,45.0
1361,3416500,25.0,44.0
1362,3416560,48.0,62.0
1363,3416710,27.0,57.0
1364,3416740,47.0,73.0
1365,3416800,9.0,19.0
1366,3416870,18.0,40.0
1367,3416890,38.0,49.0
1368,3416970,28.0,53.0
1369,3417070,22.0,36.0
1370,3417100,40.0,70.0
1371,3417220,27.0,57.0
1372,3417280,44.0,64.0
1373,3417430,25.0,42.0
1374,3417460,43.0,52.0
1375,3417500,89.0,92.0
1376,3417520,18.0,40.0
1377,3417550,57.0,78.0
1378,3417580,13.0,35.0
1379,3417610,26.0,48.0
1380,3417700,66.0,79.0
1381,3417760,59.0,72.0
1382,3417820,49.0,67.0
1383,3418000,4.0,17.0
1384,3418040,84.0,96.0
1385,3418060,13.0,30.0
1386,3418120,26.0,40.0
1387,3418300,14.0,57.0
1388,3418330,24.0,46.0
1389,3600076,85.0,91.0
1390,3600077,88.0,94.0
1391,3600078,89.0,94.0
1392,3600079,92.0,95.0
1393,3600081,85.0,92.0
1394,3600083,86.0,88.0
1395,3600084,77.0,86.0
1396,3600085,76.0,82.0
1397,3600086,81.0,85.0
1398,3600087,86.0,89.0
1399,3600088,83.0,90.0
1400,3600090,77.0,79.0
1401,3600091,92.0,95.0
1402,3600092,82.0,89.0
1403,3600094,75.0,86.0
1404,3600095,86.0,91.0
1405,3600096,77.0,85.0
1406,3600097,73.0,82.0
1407,3600098,91.0,93.0
1408,3600099,95.0,95.0
1409,3600100,93.0,95.0
1410,3600101,83.0,89.0
1411,3600102,91.0,92.0
1412,3600103,88.0,95.0
1413,3600119,87.0,92.0
1414,3600120,78.0,89.0
1415,3600121,74.0,83.0
1416,3600122,88.0,90.0
1417,3600123,86.0,89.0
1418,3600125,85.0,97.0
1419,3600151,91.0,90.0
1420,3600152,88.0,92.0
1421,3600153,92.0,94.0
1422,3602460,80.0,91.0
1423,3603270,97.0,98.0
1424,3603840,91.0,97.0
1425,3603870,93.0,96.0
1426,3604080,91.0,94.0
1427,3604870,87.0,87.0
1428,3605280,91.0,90.0
1429,3605850,81.0,82.0
1430,3606570,96.0,96.0
1431,3606870,88.0,87.0
1432,3607530,96.0,96.0
1433,3608160,94.0,97.0
1434,3608310,93.0,90.0
1435,3608400,91.0,93.0
1436,3608880,96.0,92.0
1437,3609840,97.0,97.0
1438,3610560,84.0,90.0
1439,3610890,98.0,97.0
1440,3610980,89.0,95.0
1441,3611550,85.0,93.0
1442,3611670,94.0,96.0
